cal_sbid,sbid,field
14843,14840,RACS_test4_1.05_1620-37A
14843,14841,RACS_test4_1.05_1554-71A
14843,14842,RACS_test4_1.05_1651-37A
14932,14897,RACS_test4_1.05_0739+00A
14932,14925,RACS_test4_1.05_1727-18A
14932,14926,RACS_test4_1.05_1824+00A
14932,14927,RACS_test4_1.05_1833-25A
14932,14928,RACS_test4_1.05_1845-18A
14932,14929,RACS_test4_1.05_1914+00A
14932,14930,RACS_test4_1.05_1819-18A
14932,14931,RACS_test4_1.05_1947+12A
14932,14946,RACS_test4_1.05_0148+25A
14932,14948,RACS_test4_1.05_0237+18A
14932,14963,RACS_test4_1.05_0918+06A
14932,14977,RACS_test4_1.05_1721-37A
14932,14978,RACS_test4_1.05_1741-12A
14932,14979,RACS_test4_1.05_1752-37A
14932,14980,RACS_test4_1.05_1824-06A
14932,14981,RACS_test4_1.05_1849-06A
14932,14982,RACS_test4_1.05_1751-43A
14932,14983,RACS_test4_1.05_1914-06A
14932,14996,RACS_test4_1.05_2241+18A
14932,14997,RACS_test4_1.05_2218+12A
14932,14998,RACS_test4_1.05_2244+12A

