id,field,sbid,cal_sbid
437,RACS_test4_1.05_0000-12A,10383,10379
882,RACS_test4_1.05_0131+37A,10383,10379
673,RACS_test4_1.05_0206+12A,10383,10379
729,RACS_test4_1.05_0210+18A,10383,10379
616,RACS_test4_1.05_0216+06A,10383,10379
674,RACS_test4_1.05_0231+12A,10383,10379
730,RACS_test4_1.05_0237+18A,10383,10379
 22,RACS_test4_1.05_0514-73A,10383,10379
790,RACS_test4_1.05_0526+25A,10383,10379
508,RACS_test4_1.05_0535-06A,10383,10379
737,RACS_test4_1.05_0540+18A,10383,10379
 16,RACS_test4_1.05_0645-73A,10383,10379
 10,RACS_test4_1.05_0805-71A,10383,10379
641,RACS_test4_1.05_1237+12A,10469,10485
162,RACS_test4_1.05_1323-43A,10469,10485
304,RACS_test4_1.05_1335-25A,10469,10485
313,RACS_test4_1.05_1739-25A,10469,10485
262,RACS_test4_1.05_1752-31A,10469,10485
314,RACS_test4_1.05_1806-25A,10469,10485
317,RACS_test4_1.05_1928-25A,10469,10485
371,RACS_test4_1.05_1938-18A,10469,10485
