Component_ID,RA,DEC,RA_comp,DEC_comp
SB66376_component_2a,140.243406,44.698566,140.243577,44.698329
SB66376_component_6a,136.364325,48.846902,136.364433,48.847213
SB66376_component_8a,143.565767,49.139286,143.565676,49.139369
SB66376_component_20a,142.646127,46.735397,142.64617,46.735738
SB66376_component_23a,141.187313,45.199753,141.187477,45.199422
SB66376_component_25a,136.56457,46.605052,136.564749,46.605284
SB66376_component_27a,138.212892,44.367821,138.213035,44.367959
SB66376_component_28a,138.472181,44.049175,138.472357,44.049222
SB66376_component_30a,137.427494,47.893701,137.427634,47.893854
SB66376_component_32a,142.100439,44.768111,142.100571,44.768
